index,BuildingRatingDesc,BuildingClassDesc,StreetAddress,Quadrant,City,State,PostCode,Latitude,Longitude,MinRent,MaxRent,NumBedsMin,NumBedsMax,NumBathsMin,NumBathsMax,UnitMinSqFt,UnitMaxSqFt,NUMUNITS,MinLeaseTermsMonths,MaxLeaseTermsMonths,IsShortTermLeaseAvailableFlag,AYB,EYB,YR_RMDL,STORIES,GBA,LotSqFtTotal,Rooms-Kitchen,Rooms-Heating,Rooms-Range,Rooms-Refrigerator,Rooms-Oven,Rooms-Air Conditioning,Building-Elevator,Rooms-Wheelchair Accessible (Rooms),Building-Laundry Facilities,Rooms-Hardwood Floors,Rooms-Tub/Shower,Rooms-Cable Ready,Rooms-Dishwasher,Building-Property Manager on Site,Building-Fitness Center,Building-Doorman,Rooms-Stainless Steel Appliances,Building-Controlled Access,Rooms-Microwave,Building-Concierge,Rooms-Washer/Dryer,Rooms-Granite Countertops,Rooms-Balcony,Rooms-Views,Building-24 Hour Availability,Rooms-High Speed Internet Access,Building-Maintenance on site,Building-Security System,Rooms-Vaulted Ceiling,Building-On-Site Retail,Building-Bike Storage,Rooms-Walk-In Closets,Building-Courtyard,Rooms-Storage Units,Building-Pool,Building-Storage Space,Rooms-Tile Floors,Building-Rooftop Lounge,Building-Gameroom,Building-Package Service,Building-Lounge,Rooms-Fireplace,Building-Sundeck,Building-Playground,Building-Clubhouse,Rooms-Intercom,Rooms-Smoke Free,Rooms-Disposal,Rooms-Eat-in Kitchen,Building-Dry Cleaning Service,Rooms-Freezer,Rooms-Carpet,Building-Business Center,Building-Vintage Building,Building-Video Patrol,Rooms-Dining Room,Building-Spa,Building-Media Center/Movie Theatre,Building-Sauna,Building-Grill,Building-Recycling,Rooms-Wi-Fi,Building-Laundry Service,Rooms-Patio,Rooms-Deck,Building-Car Charging Station,Rooms-Window Coverings,Building-Breakfast/Coffee Concierge,Building-Pet Play Area,Rooms-Crown Molding,Building-Maid Service,Building-Basketball Court,Rooms-Office,Building-Gated,Building-Cardio Machines,Rooms-Pantry,Rooms-Bay Window,Building-Free Weights,Building-Furnished Units Available,Rooms-Garden,Rooms-Ceiling Fans,Building-Online Services,Rooms-Washer/Dryer Hookup,Rooms-Sprinkler System,Rooms-Alarm,Building-Waterfront,Rooms-Double Pane Windows,Building-Multi Use Room,Building-Trash Pickup - Curbside,Building-Weight Machines,Rooms-Ice Maker,Building-Library,Building-Health Club Facility,Building-Picnic Area,Building-Planned Social Activities,Building-Walking/Biking Trails,Rooms-Basement,Rooms-Double Vanities,Rooms-Satellite TV,Rooms-Linen Closet,Building-Trash Pickup - Door to Door,Building-Pet Care,Building-Renters Insurance Program,Rooms-Yard,Building-Fitness Programs,Note
0,2 Star,C,26 Lee Ave,,Takoma Park,MD,209124543,38.9798554,-77.0067179,635,710,1,2,1,1,600,750,100,,,,,,,4,79608,87991,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,3 Star,C,214 Joshua Dr,,Martinsburg,WV,254044200,39.4853982,-77.9506996,496,531,1,2,1,1,428,605,46,,,,,,,2,42714,174667,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,3 Star,B,11100 Church St,,Fairfax,VA,22030,38.859164,-77.3304348,2255,2255,3,3,2,2,1449,1449,20,,,,,2010,2010,2,34310,87120,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,3 Star,C,3401 Pearl Dr,,Suitland,MD,207462127,38.841394,-76.926742,1186,1663,1,3,1,1,645,1057,327,,,,,,,3,372048,610711,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"???, a community of apartments in Suitland, MD, just a short drive from Washington, D.C. Located a short distance from the Suitland metro, life at ??? puts you within a convenient distance from some of the area's top locations, including the Andrews Air Force Base and the U.S. Census Bureau headquartered in the Suitland Federal Center. Our garden-style residences offer all of the amenities and essentials designed for stress-free living. Please call for an appointment today."
4,3 Star,B,3801 Connecticut Ave NW,NW,Washington,DC,20008,38.9393611,-77.0601394,1000,2100,0,1,1,1,472,833,307,,,,,,,9,238868,68180,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"??? offers incredibly spacious studio and one bedroom apartments on one of D.C.?s liveliest boulevards. Residents enjoy the convenience of restaurants, unique shops, and a plethora of activities and site seeing opportunities just walking distance from their homes. You?ll fall in love with the new in-unit renovations at this community, whether it is with the designer plank floors, detailed back-splashes or stainless steel appliances. With a metro stop a few blocks away, the options are limitless in these beautiful apartments!"
5,2 Star,B,2712 Wisconsin Ave NW,NW,Washington,DC,20007,38.9253347,-77.0736294,1495,2375,0,2,1,1,550,1000,110,,,,,,,8,98264,13068,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Beautiful natural sunlight filled apartments from the windows of the huge living rooms and the bedrooms -Parquet hardwood floors and great kitchens. Amazing Location! Walking distance to Georgetown, Whole Foods/ CVS Pharmacy, Guy Mason Center, Starbucks, etc. Furnished rooftop deck with incredible 360' views of entire city. You can see as far as Clarendon, Bethesda, Silver Spring, and even downtown Washington from one of the highest elevations in the city."
6,2 Star,C,3801 33rd St,,Mount Rainier,MD,207122020,38.936719,-76.961771,,,1,1,1,1,,,12,,,,,,,3,3780,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4 Star,A,6210 Belcrest Rd,,Hyattsville,MD,20782,38.965215,-76.954359,1630,1973,0,3,1,2,448,1568,260,,,,,,,5,375525,239297,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"The ??? in Hyattsville, MD is located in fast-paced neighborhood bursting with shops, restaurants and entertainment. Located next door to the Prince George's Plaza Metro Green Line station, ??? blends sophistication and convenient transit-oriented living. Our spacious apartments feature hardwood floors, vaulted ceilings, gourmet kitchens and in-home washer and dryer. Residents enjoy spending time in our fitness center, swimming pool, theater room and resident game room. Ask about our new Reserved Parking Program."
8,2 Star,C,2600 Naylor Rd SE,SE,Washington,DC,200207256,38.8678723,-76.9702146,,,0,2,1,1,,,16,,,,,,,3,12452,13504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3 Star,C,45970 Foxchase Dr,,Great Mills,MD,206342318,38.2558466,-76.4905338,885,1016,2,2,2,2,850,850,134,,,,,,,2,128022,476982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
